user_id,cluster,cluster_name
862,1,活动互动/沉睡/回流/高活跃
863,1,活动互动/沉睡/回流/高活跃
864,1,活动互动/沉睡/回流/高活跃
865,0,活动互动
866,1,活动互动/沉睡/回流/高活跃
867,1,活动互动/沉睡/回流/高活跃
868,0,活动互动
869,1,活动互动/沉睡/回流/高活跃
870,1,活动互动/沉睡/回流/高活跃
871,1,活动互动/沉睡/回流/高活跃
872,1,活动互动/沉睡/回流/高活跃
873,1,活动互动/沉睡/回流/高活跃
874,1,活动互动/沉睡/回流/高活跃
875,1,活动互动/沉睡/回流/高活跃
876,1,活动互动/沉睡/回流/高活跃
877,1,活动互动/沉睡/回流/高活跃
878,1,活动互动/沉睡/回流/高活跃
879,1,活动互动/沉睡/回流/高活跃
880,1,活动互动/沉睡/回流/高活跃
881,1,活动互动/沉睡/回流/高活跃
882,1,活动互动/沉睡/回流/高活跃
883,0,活动互动
884,1,活动互动/沉睡/回流/高活跃
885,0,活动互动
886,0,活动互动
887,0,活动互动
888,1,活动互动/沉睡/回流/高活跃
889,1,活动互动/沉睡/回流/高活跃
890,1,活动互动/沉睡/回流/高活跃
891,0,活动互动
892,1,活动互动/沉睡/回流/高活跃
893,0,活动互动
894,1,活动互动/沉睡/回流/高活跃
895,1,活动互动/沉睡/回流/高活跃
896,1,活动互动/沉睡/回流/高活跃
897,1,活动互动/沉睡/回流/高活跃
898,1,活动互动/沉睡/回流/高活跃
899,1,活动互动/沉睡/回流/高活跃
900,0,活动互动
901,1,活动互动/沉睡/回流/高活跃
902,0,活动互动
903,0,活动互动
904,1,活动互动/沉睡/回流/高活跃
905,0,活动互动
906,1,活动互动/沉睡/回流/高活跃
907,1,活动互动/沉睡/回流/高活跃
908,1,活动互动/沉睡/回流/高活跃
909,1,活动互动/沉睡/回流/高活跃
910,0,活动互动
911,1,活动互动/沉睡/回流/高活跃
912,1,活动互动/沉睡/回流/高活跃
913,0,活动互动
914,0,活动互动
915,1,活动互动/沉睡/回流/高活跃
916,1,活动互动/沉睡/回流/高活跃
917,1,活动互动/沉睡/回流/高活跃
918,1,活动互动/沉睡/回流/高活跃
919,1,活动互动/沉睡/回流/高活跃
920,0,活动互动
921,1,活动互动/沉睡/回流/高活跃
922,1,活动互动/沉睡/回流/高活跃
923,0,活动互动
924,1,活动互动/沉睡/回流/高活跃
925,1,活动互动/沉睡/回流/高活跃
926,0,活动互动
927,1,活动互动/沉睡/回流/高活跃
928,1,活动互动/沉睡/回流/高活跃
929,1,活动互动/沉睡/回流/高活跃
930,0,活动互动
931,1,活动互动/沉睡/回流/高活跃
932,1,活动互动/沉睡/回流/高活跃
933,1,活动互动/沉睡/回流/高活跃
934,1,活动互动/沉睡/回流/高活跃
935,1,活动互动/沉睡/回流/高活跃
936,0,活动互动
937,1,活动互动/沉睡/回流/高活跃
938,0,活动互动
939,0,活动互动
940,1,活动互动/沉睡/回流/高活跃
941,0,活动互动
942,1,活动互动/沉睡/回流/高活跃
943,0,活动互动
944,1,活动互动/沉睡/回流/高活跃
945,1,活动互动/沉睡/回流/高活跃
946,0,活动互动
947,1,活动互动/沉睡/回流/高活跃
948,1,活动互动/沉睡/回流/高活跃
949,0,活动互动
950,1,活动互动/沉睡/回流/高活跃
951,1,活动互动/沉睡/回流/高活跃
952,1,活动互动/沉睡/回流/高活跃
953,1,活动互动/沉睡/回流/高活跃
954,1,活动互动/沉睡/回流/高活跃
955,1,活动互动/沉睡/回流/高活跃
956,0,活动互动
957,1,活动互动/沉睡/回流/高活跃
958,0,活动互动
959,0,活动互动
960,0,活动互动
961,1,活动互动/沉睡/回流/高活跃
962,1,活动互动/沉睡/回流/高活跃
963,1,活动互动/沉睡/回流/高活跃
964,1,活动互动/沉睡/回流/高活跃
965,1,活动互动/沉睡/回流/高活跃
966,1,活动互动/沉睡/回流/高活跃
967,1,活动互动/沉睡/回流/高活跃
968,1,活动互动/沉睡/回流/高活跃
969,1,活动互动/沉睡/回流/高活跃
970,1,活动互动/沉睡/回流/高活跃
971,1,活动互动/沉睡/回流/高活跃
972,1,活动互动/沉睡/回流/高活跃
973,1,活动互动/沉睡/回流/高活跃
974,1,活动互动/沉睡/回流/高活跃
975,1,活动互动/沉睡/回流/高活跃
976,1,活动互动/沉睡/回流/高活跃
977,1,活动互动/沉睡/回流/高活跃
978,1,活动互动/沉睡/回流/高活跃
979,1,活动互动/沉睡/回流/高活跃
980,1,活动互动/沉睡/回流/高活跃
981,1,活动互动/沉睡/回流/高活跃
982,1,活动互动/沉睡/回流/高活跃
983,1,活动互动/沉睡/回流/高活跃
984,1,活动互动/沉睡/回流/高活跃
986,0,活动互动
987,1,活动互动/沉睡/回流/高活跃
988,1,活动互动/沉睡/回流/高活跃
989,1,活动互动/沉睡/回流/高活跃
990,1,活动互动/沉睡/回流/高活跃
991,1,活动互动/沉睡/回流/高活跃
992,1,活动互动/沉睡/回流/高活跃
